FILTROS;;;;;;
;1 Registro;;;;6645;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_0;
0990;09/2025-67903807000105;05A5512C10547F6D62D7D3B18042E0F9;B0D6BFC1AC45E2B4A1CE61B9FF7232BF;C60D5ED261931546EB5099D87679A317;6645;
