FILTROS;;;;;;;;;;;;;;;;;
;1 Registro;;;;20284,98;16222,14;0;4062,84;0;0;4062,84;0;0;0;0;4062,84;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;VL_TOT_CONT_NC_PER;VL_TOT_CRED_DESC;VL_TOT_CRED_DESC_ANT;VL_TOT_CONT_NC_DEV;VL_RET_NC;VL_OUT_DED_NC;VL_CONT_NC_REC;VL_TOT_CONT_CUM_PER;VL_RET_CUM;VL_OUT_DED_CUM;VL_CONT_CUM_REC;VL_TOT_CONT_REC;
M200;09/2025-67903807000105;B0B12B7E2494D0F13AFCB4E8E466A640;;5B2C87AAEEFF0381BBCD4B9C0F173FF4;20284,98;16222,14;0;4062,84;0;0;4062,84;0;0;0;0;4062,84;
