FILTROS;;;;;;;;;;;;;;
;1 Registro;;;;;0;;;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_OR;VL_OR;DT_VCTO;COD_REC;NUM_PROC;IND_PROC;PROC;TXT_COMPL;MES_REF;
E116;11/2025-07329932000121;49142ADC0DEC0EAD723391CC50842AA3;069BB888136FE4B3406E0086D85F9FE4;;000;0;45993;1131;;;;;112025;
