FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_MOV;
M001;09/2025-67903807000105;5B2C87AAEEFF0381BBCD4B9C0F173FF4;;C60D5ED261931546EB5099D87679A317;0 - Bloco com dados informados;
