FILTROS;;;;;;
;1 Registro;;;;30;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_M;
M990;09/2025-67903807000105;58FEFA2EBF4BC918E112296E874487D0;;C60D5ED261931546EB5099D87679A317;30;
