FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_MOV;
H001;11/2025-07329932000121;4DC8D24887F2600A89E42409D304E8AC;DB8CCB3738DBD188CF1B4A29DC44E656;;0 - Bloco com dados informados;
