FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_MOV;
I001;09/2025-67903807000105;FFEDAA5A7BAFD207CD03994A03A2E02C;;C60D5ED261931546EB5099D87679A317;1 - Bloco sem dados informados;
