FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_MOV;
G001;11/2025-07329932000121;732F71FB319F09098B6873B72BD04A36;DB8CCB3738DBD188CF1B4A29DC44E656;;1 - Bloco sem dados informados;
