FILTROS;;;;;;
;1 Registro;;;;5;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_E;
E990;11/2025-07329932000121;C29BDFEB4237948F585EADC8CFF338D7;DB8CCB3738DBD188CF1B4A29DC44E656;;5;
