FILTROS;;;;;;;;
;1 Registro;;;;;;18792,03;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;NUM_CAMPO;COD_REC;VL_DEBITO;
M605;09/2025-67903807000105;FCD744014441AF3474028C425AB130C0;;687F0DC0B75508B5A40A4B74F4A33E4C;08;585601;18792,03;
