FILTROS;;;;;;
;1 Registro;;;;2;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_B;
B990;11/2025-07329932000121;213B6EB786F0005292341948A35B5F3B;DB8CCB3738DBD188CF1B4A29DC44E656;;2;
