FILTROS;;;;;;;;;;;;;
;1 Registro;;;;;;;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_EST;NOME;CNPJ;UF;IE;COD_MUN;IM;SUFRAMA;
0140;09/2025-67903807000105;DD499A78358AA062290DF8F593B9360C;;B847AF404930F95299EFE7E99FFC813B;274;SACOLAO CAMPOS ELISEOS LTDA;67903807000105;SP;113451169118;3550308;20629575;;
