FILTROS;;;;;;;;
;0;0;0;0;0;0;0 recomendações;
ARQUIVO;PIS_ORIGINAL;PIS_CORRIGIDO;DIFERENCA_PIS;COFINS_ORIGINAL;COFINS_CORRIGIDO;DIFERENCA_COFINS;RECOMENDACAO;
