FILTROS;;;;;;
;1 Registro;;;;2;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_G;
G990;11/2025-07329932000121;AD9AD02CD5CD2E6F00309E7AC018720E;DB8CCB3738DBD188CF1B4A29DC44E656;;2;
