FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_MOV;
0001;11/2025-57901554000187;AFCB79773F3815218DBA387389D5F409;A95B1AEB347DCE2A6CFB2B487D1752AD;EA316A37DE7B028E2693A91FD45F6A6A;0 - Bloco com dados informados;
