FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_MOV;
B001;11/2025-07329932000121;D0DB79601C97C10370FE464F5E7F28FE;DB8CCB3738DBD188CF1B4A29DC44E656;;1 - Bloco sem dados informados;
