FILTROS;;;;;;
;1 Registro;;;;15222;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_H;
H990;11/2025-07329932000121;B6E3642BCF522FE8A32B485456DA18A2;DB8CCB3738DBD188CF1B4A29DC44E656;;15222;
