FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_MOV;
1001;09/2025-67903807000105;B4EEED5DC8B50A503115F22BB80F70F9;B0D6BFC1AC45E2B4A1CE61B9FF7232BF;C60D5ED261931546EB5099D87679A317;1 - Bloco sem dados informados;
