FILTROS;;;;;;;;;;;;;
;1 Registro;;;;;;;2539,73;2539,73;177,78;0;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;CST_ICMS;CFOP;ALIQ_ICMS;VL_OPR;VL_BC_ICMS;VL_ICMS;VL_RED_BC;COD_OBS;
D190;11/2025-07329932000121;8224FFBB69ADEB7409FE2BBFD62608FE;E1AEDFC48B9C9FED8B67CFF23E002D76;;000;2353;0,07;2539,73;2539,73;177,78;0;;
