FILTROS;;;;;;;;;;;;;;;;;;
;1 Registro;;;;;;;;;;;;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_EXP;IND_CCRF;IND_COMB;IND_USINA;IND_VA;IND_EE;IND_CART;IND_FORM;IND_AER;IND_GIAF1;IND_GIAF3;IND_GIAF4;IND_REST_RESSARC_COMPL_ICMS;
1010;11/2025-07329932000121;6E94FC2DDE8A755915606744BA568483;E5B7A9A0EA553E5104A551FB02871407;E5B7A9A0EA553E5104A551FB02871407;N;N;N;N;N;N;N;N;N;N;N;N;N;
