FILTROS;;;;;;;;;;
;1 Registro;;;;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;REC_BRU_NCUM_TRIB_MI;REC_BRU_NCUM_NT_MI;REC_BRU_NCUM_EXP;REC_BRU_CUM;REC_BRU_TOTAL;
0111;09/2025-67903807000105;CE7C7C1BC4ABBA4930852196113EDDB6;;4399242459A9C70872F640BBECC4645D;1347320,55;3694145,44;0;0;5041465,99;
