FILTROS;;;;;;
;1 Registro;;;;3;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_1;
1990;11/2025-07329932000121;3E27FC9ECF8338E69690A8C0DE9BFAFA;DB8CCB3738DBD188CF1B4A29DC44E656;58CA8FFEEEFB9462AADBDD05C3A8EDD1;3;
