FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_MOV;
K001;11/2025-07329932000121;4BA96E10BAF53C07781E0C46F523771C;DB8CCB3738DBD188CF1B4A29DC44E656;;1 - Bloco sem dados informados;
