FILTROS;;;;;;;;
;1 Registro;;;;;;4062,84;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;NUM_CAMPO;COD_REC;VL_DEBITO;
M205;09/2025-67903807000105;E88F4C129FFDBF63DF77A42A9C3A23EE;;B0B12B7E2494D0F13AFCB4E8E466A640;08;691201;4062,84;
