FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;CNPJ;
A010;09/2025-67903807000105;228E5E759841EAD575E5AD3E6DB55E28;;18D960C0462ABE087DB79FA05FD7E30D;67903807000105;
