FILTROS;;;;;;;;;;;;;;
;0 Registros;;;;;;;0;0;0;0;;0;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_IND_BEM;DT_MOV;TIPO_MOV;VL_IMOB_ICMS_OP;VL_IMOB_ICMS_ST;VL_IMOB_ICMS_FRT;VL_IMOB_ICMS_DIF;NUM_PARC;VL_PARC_PASS;
