FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;CNPJ;
F010;09/2025-67903807000105;42C6E61345793C5A72B20C3B4CFA5DD0;;39990B12310C8014A43B7189BE29C4F8;67903807000105;
