FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_MOV;
E001;11/2025-07329932000121;5FA099F2E08372F72DFDEC4996FC34CB;DB8CCB3738DBD188CF1B4A29DC44E656;;0 - Bloco com dados informados;
