FILTROS;;;;;;
;1 Registro;;;;97;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_F;
F990;09/2025-67903807000105;B9B4820E924955CF15C03DCE349BB667;;C60D5ED261931546EB5099D87679A317;97;
