FILTROS;;;;;;;
;1 Registro;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;DT_INI;DT_FIN;
E100;11/2025-07329932000121;A655F19C45562A868EEB687A359E91D6;5FA099F2E08372F72DFDEC4996FC34CB;;45962;45991;
