FILTROS;;;;;;
;1 Registro;;;;2;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_I;
I990;09/2025-67903807000105;72B6BD4313700C2FD74AB406A80F24A2;;C60D5ED261931546EB5099D87679A317;2;
