FILTROS;;;;;;;;;;;
;137 Registros;;;;;;;;0;22068,59;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_EMIT;IND_TIT;DESC_TIT;NUM_TIT;QTD_PARC;VL_TIT;
C140;11/2025-57901554000187;4551A52155D91234A782B7B79AD49BE3;7B4F9DB43F2D3E6F8E37DEA8011D07EA;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;49E579C272A4B09C3D0F73E7B890E316;F70F9EA874159754D9C656B5A573B385;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;2B5E1F76C6A33FE1199ADA7D7AC0E7F0;3DE60B2E2AFB79C961C85B6131FB134C;;0 - Própria;99 - Outros;;;;170,92;
C140;11/2025-57901554000187;466CE7726730619DAF27BF0F8499DCA1;62DC5155D21479696F2EC069FA8BA2DB;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;30FC70AEF4D3202E2956A7F35A7300E8;3E46E11E6DC66C1C898FBBD0F0C1D853;;0 - Própria;99 - Outros;;;;282,55;
C140;11/2025-57901554000187;EA11DC8D9EF6460AB81DBFACB967F6DC;60E4D297AA77FF42345B5821F54B766F;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;4B8367D973301EEE2692B4AC7098C7F7;10D59AA83649920C55A1558DB94156C7;;0 - Própria;99 - Outros;;;;168,54;
C140;11/2025-57901554000187;031F9BAEF2F182F975D4A6DFCFACBFA6;78AD6044C8933AF41438A1A29F7F4621;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;FA405302B640F2490AEA988B57D89556;79F8891D2B4EE460D9F74868292903B2;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;F90AF7DF53CDED0CF5843595FC8790FD;378E304AD7D3F841F6B6BDA3D8A2DDED;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;E5C394EE21A7950A083D4CF197E17BC5;D6D8E8885FF4D2A8D1CE671A935B0464;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;AC1F62ADB2F2D0D94BD3123D9D755529;F0506F7DC2514EEBFCF100D8B4AFD31A;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;8A09A0742220867B2394DB5687520770;EF7078E3EAB5F5CC710D4BF0B5F68E11;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;99EDEEDF948B6ABED4988496D1E62646;C38D268032B584C4A7DFE77353ABA9B2;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;6F201F53912AF8222E211B3B6AE5AE53;6AAF3CE0067C6187C7835393F75B5410;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;1DF96A564BD1C0C11246CC8947E9FECC;787D34BB072DBDE3815B2D97B516C86B;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;E7E6C2B5008C6DD8D3B533A5834FFD85;9B308714949B4BBA5A42E51087ED4BDA;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;88A5E782EC38D27C0BC47715205BB90D;04F722617E7A6D58C359095CBE912D66;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;24652401CECEA3324F233DD7E572A7CC;D4004D1745D56BD30D97CEB35286598F;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;3AB96324D3B25D3560BBC9CFB0B0D56F;5C514C306E67992AFB712EB4B3FAC09E;;0 - Própria;99 - Outros;;;;168,54;
C140;11/2025-57901554000187;05C57742B7778C78380EBD2494F2633B;C2C33A01FDC866547DCE7E6B9B1E2AD4;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;40FAC55B927D7AB8808179C9F1D7B8C4;57985C796A2E9D3D3B1A4B8DF75870BB;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;C392588931E6CD5832A2F527CF88B57E;C7292C877E2F54A8514EE3D2DEDE8C52;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;4D32E2585002504ED23A1BD78C39000E;65E0FB3418557DD766AD78F1B1734953;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;561967BA0147BE89A86CEFA575B8BAD1;D40266EF00866E7AF83E0DCDFD79F8BA;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;AA9C42F82F5BE28773CB5C1BE4940729;9BFF1795564F7FD8573BE6D97C4A23BE;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;A70056BFC66AF11507C05061821370DB;B30056A8046BF89558AAFC3AE582113A;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;71F16914F2185C5A0CB612F9450E7B1A;551355A95596B1A1FF27F956EBAE0FF4;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;AC9A068A0EC41A3E458BBB7426572D68;47EBB1060877B71B66DBB8AD488515F8;;0 - Própria;99 - Outros;;;;173,36;
C140;11/2025-57901554000187;1B3651D3C2D2F617FB467C57FA5D21A0;BDC5CDC01F86D24C36686E1EA6BC1759;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;DDD079FC1CC49B3560E325FE0689E179;86153FBF7D80747449875924E983F9E6;;0 - Própria;99 - Outros;;;;166,25;
