FILTROS;;;;;;;;;
;1 Registro;;;;;3705035,92;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;CST_PIS;VL_TOT_REC;COD_CTA;DESC_COMPL;
M400;09/2025-67903807000105;407B1B8CB1FC46127FE0B299EC122149;;5B2C87AAEEFF0381BBCD4B9C0F173FF4;06 - Operação Tributável a Alíquota Zero;3705035,92;405;;
