FILTROS;;;;;;
;1 Registro;;;;5;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_A;
A990;09/2025-67903807000105;BEC9207013072FBDA268F1EB59A585B7;;C60D5ED261931546EB5099D87679A317;5;
