FILTROS;;;;;;
;1 Registro;;;;2;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_K;
K990;11/2025-07329932000121;C05818BE922CBCD7930F7635DF104440;DB8CCB3738DBD188CF1B4A29DC44E656;;2;
