FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_MOV;
A001;09/2025-67903807000105;18D960C0462ABE087DB79FA05FD7E30D;;C60D5ED261931546EB5099D87679A317;0 - Bloco com dados informados;
