FILTROS;;;;;;
;1 Registro;;;;2;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_D;
D990;09/2025-67903807000105;CE143EE7FD2338E96D0E18B88E19FB5A;B0D6BFC1AC45E2B4A1CE61B9FF7232BF;C60D5ED261931546EB5099D87679A317;2;
