FILTROS;;;;;;
;1 Registro;;;;2;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_P;
P990;09/2025-67903807000105;66730E7770B3C6DDBE812225BED2055D;;C60D5ED261931546EB5099D87679A317;2;
