FILTROS;;;;;;;
;1 Registro;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;CNPJ;IND_ESCRI;
D010;11/2025-07329932000121;D69EFC16EC3CC7883D180339CF16F1FE;;9EDE69C269B9286F1AFEBAD05D9AE913;07329932000121;2;
