FILTROS;;;;;;;;;;;;;;;;;;
;0 Registros;;;;;;;0;0;0;0;0;0;0;0;0;0;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_MOT_REST_COMPL;QUANT_CONV;UNID;VL_UNIT_CONV;VL_UNIT_ICMS_NA_OPERACAO_CONV;VL_UNIT_ICMS_OP_CONV;VL_UNIT_BC_ICMS_ST_ESTOQUE_CONV;VL_UNIT_ICMS_ST_ESTOQUE_CONV;VL_UNIT_FCP_ICMS_ST_ESTOQUE_CONV;VL_UNIT_ICMS_ST_CONV_REST;VL_UNIT_FCP_ST_CONV_REST;VL_UNIT_ICMS_ST_CONV_COMPL;VL_UNIT_FCP_ST_CONV_COMPL;
