FILTROS;;;;;;;;;;;
;1 Registro;;;;;500,9;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_AJ;VL_AJ;COD_AJ;NUM_DOC;DESCR_AJ;DT_REF;
M510;09/2025-67903807000105;29B9AB89794EB52EA36D40CEB5FC91F4;;2017AAB14EA5E938CD5433FD933198CC;1;500,9;05;;;45930;
