FILTROS;;;;;;;;;;;;;;;;;;;;
;2 Registros;;;;;1354525;1225255,3;0;0;1225255,3;;;;93119,4;392,79;0;0;0;93512,19;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_CONT;VL_REC_BRT;VL_BC_CONT;VL_AJUS_ACRES_BC;VL_AJUS_REDUC_BC;VL_BC_CONT_AJUS;ALIQ_COFINS;QUANT_BC_COFINS;ALIQ_COFINS_QUANT;VL_CONT_APUR;VL_AJUS_ACRES;VL_AJUS_REDUC;VL_CONT_DIFER;VL_CONT_DIFER_ANT;VL_CONT_PER;
M610;09/2025-67903807000105;A0F7DBA0145668EFDC85852ED84409CD;;687F0DC0B75508B5A40A4B74F4A33E4C;01;1354525;1225255,3;0;0;1225255,3;0,076;0;;93119,4;81,32;0;0;0;93200,72;
M610;09/2025-67903807000105;A58507A7860D27CF4DBC3AEC82141414;;687F0DC0B75508B5A40A4B74F4A33E4C;02;0;0;0;0;0;0,04;0;;0;311,47;0;0;0;311,47;
