FILTROS;;;;;;
;1 Registro;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_MOV;
F001;09/2025-67903807000105;39990B12310C8014A43B7189BE29C4F8;;C60D5ED261931546EB5099D87679A317;0 - Bloco com dados informados;
