FILTROS;;;;;;;;;;;
;1 Registro;;;;;108,75;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_AJ;VL_AJ;COD_AJ;NUM_DOC;DESCR_AJ;DT_REF;
M110;09/2025-67903807000105;DE4FA0B3BD68B208B64FA483F61433F6;;FC9FB0D78F85939E2C32019E79150F79;1;108,75;05;;;45930;
