FILTROS;;;;;;;
;87 Registros;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;UNID;DESCR;
0190;09/2025-67903807000105;1BCB1765D525A1896A9624F9551D5362;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;1;Unidade;
0190;09/2025-67903807000105;74B8B1104DA84E9466801B5FF60BEB66;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;2;UNIDADE;
0190;09/2025-67903807000105;34A485FBDE5D47DDA305CBA81CB35E5C;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;4;CJ;
0190;09/2025-67903807000105;7EF135193CEBB6E1DBF09C655AF1C5E2;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;5;Caixa;
0190;09/2025-67903807000105;027A567A9AD4A9F0A0784A73B473453F;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;6;DUZIA;
0190;09/2025-67903807000105;EDC428C61014CF4761E9ABE4B98C694E;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;7;Fardo;
0190;09/2025-67903807000105;5C6625A018252442985C8FF51748470E;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;8;Quilograma;
0190;09/2025-67903807000105;28B4AFB543ADCF92780459A1A54AB003;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;10;PECAS;
0190;09/2025-67903807000105;37A3F0ECBE0CE949AA41D2F64AECEBB6;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;11;PACOTE;
0190;09/2025-67903807000105;B8E0558A016EAB9D125D3B16469A5225;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;12;SACAS;
0190;09/2025-67903807000105;4523A7DBF9ECCDD31DF338DCCE4833CE;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;15;A PCT;
0190;09/2025-67903807000105;6F4FCDA09B1A8BC4646B04C6703A4B20;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;17;Litro;
0190;09/2025-67903807000105;98726D8408EAEA3F066EE33995BEDDB2;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;18;BR;
0190;09/2025-67903807000105;48FB0B6F5F5E11D92D538C1AA15D741F;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;20;PACOTE;
0190;09/2025-67903807000105;7133663986D00A2CE7E8E1942D5D4679;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;21;qt;
0190;09/2025-67903807000105;89953F44F498B64FD011AFE3079B45CE;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;27;BT.;
0190;09/2025-67903807000105;D01C440ED4BB5DF18D8446FADD5244AB;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;39;Balde;
0190;09/2025-67903807000105;B9F074D22E438756313752816B18D9BA;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;40;M;
0190;09/2025-67903807000105;A3E278AA51F1F035736ABCE0B968871C;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;42;BDJ.1;
0190;09/2025-67903807000105;A8061CCF15FD4F7CA0D255C6B2902782;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;43;BANDEJA;
0190;09/2025-67903807000105;14F961441C7C8152C75343693A54056E;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;47;MC1;
0190;09/2025-67903807000105;66584D924438FA5B02879B2B3D9F723C;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;52;Unidade com 1.0;
0190;09/2025-67903807000105;809E8473A86FF0F7AD301AD4038D9342;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;58;CXTS;
0190;09/2025-67903807000105;6E23D5E0D74B6FF48A29C649EDEC3CDA;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;68;PAC;
0190;09/2025-67903807000105;DFFA8C19BEEC3888226BA0C70BEBF126;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;71;CAIXA 1;
0190;09/2025-67903807000105;BB86DFF69B59CDC9173C178E97CEEF16;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;74;LITRO;
0190;09/2025-67903807000105;8A9242FD303DADF8C5A13407286DA31A;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;77;POTE;
0190;09/2025-67903807000105;AAD70A51D562DF9592F2D7C0C9CBD0EA;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;78;QT (1);
0190;09/2025-67903807000105;3811E7EDE6D3A2990998FEBF11B75F16;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;79;SAC;
0190;09/2025-67903807000105;F971259C2C97FA4A22C6459EF264EDCA;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;82;Un;
0190;09/2025-67903807000105;5268D738D633235FCDF4E5C992B170B2;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;88;UNIDAD.;
0190;09/2025-67903807000105;E0D500FDD7DCF778701B1B4CC3DD2332;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;93;KGS;
0190;09/2025-67903807000105;495BDD0ACADF2E8A9C28FC67EC298B71;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;97;FRASCO;
0190;09/2025-67903807000105;39F09E79BEFF57686572972BADD33BD7;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;98;Cx;
0190;09/2025-67903807000105;B0C12FDD23149BB5EC226D6E388F31AB;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;99;un;
0190;09/2025-67903807000105;E4B59512571A0A3DAAA6CE451FD9C3B7;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;101;Kg;
0190;09/2025-67903807000105;71334857677882086C0BA3516F7BEEB0;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;102;kg;
0190;09/2025-67903807000105;8D26EBC2934BB4980E6112F02589B2F8;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;106;UNI;
0190;09/2025-67903807000105;ABEE5A29B5698EA8092E00319CFEC8DB;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;109;LA;
0190;09/2025-67903807000105;408010A19BD9783362767D952340492A;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;110;VD;
0190;09/2025-67903807000105;62611FF0D9A89B18FA37E253403B78AE;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;137;PK;
0190;09/2025-67903807000105;4B42E2DEE80FC64336F3CE850B094159;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;141;CX15;
0190;09/2025-67903807000105;87D28B797468EF5F02EAB9BB7FA1ED93;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;142;cx.;
0190;09/2025-67903807000105;B4523ACE1BD1F22699DB9E81661271DB;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;144;EN;
0190;09/2025-67903807000105;33504D94886ED21EFB99387FD24FF6D2;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;145;CXS;
0190;09/2025-67903807000105;D64F622FFA4B847815067A376C7FCE98;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;146;cx;
0190;09/2025-67903807000105;04726A5EEE560439F40B1A06EB1E4DCB;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;147;GF;
0190;09/2025-67903807000105;8F41CDCAF793A8B1E1214C9A883C3186;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;150;GR;
0190;09/2025-67903807000105;94482A2D47E3605BDA7FA81C5BB3213B;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;156;06;
0190;09/2025-67903807000105;3FD557E23B87E176A048D5BB374406C0;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;158;sc;
0190;09/2025-67903807000105;3BF914D603E0D8BCE0DCF22AE50483FF;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;159;PCTE;
0190;09/2025-67903807000105;C4102FFCB68993D5D014F537BC56ECCD;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;160;DP;
0190;09/2025-67903807000105;3B3F7B89047EC330302BFFEFA291E68D;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;163;CX12;
0190;09/2025-67903807000105;CA13284C3821D6BAED855288305D8D24;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;164;CX20;
0190;09/2025-67903807000105;337C32079AE399237FCA6E88024ACC83;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;165;ENG;
0190;09/2025-67903807000105;9E56AF878C5749FFF331410C3D0DC489;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;166;BAL;
