FILTROS;;;;;;;;;;;;;;;;;;;;;;;;;
;0 Registros;;;;;;;;;0;;0;;;0;;0;;0;;0;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;NAT_BC_CRED;IDENT_BEM_IMOB;IND_ORIG_CRED;IND_UTIL_BEM_IMOB;MES_OPER_AQUIS;VL_OPER_AQUIS;PARC_OPER_NAO_BC_CRED;VL_BC_CRED;IND_NR_PARC;CST_PIS;VL_BC_PIS;ALIQ_PIS;VL_PIS;CST_COFINS;VL_BC_COFINS;ALIQ_COFINS;VL_COFINS;COD_CTA;COD_CCUS;DESC_BEM_IMOB;
