FILTROS;;;;;;;;
;1 Registro;;;;;;719000;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;NUM_PARC;DT_VCTO;VL_PARC;
C141;11/2025-07329932000121;573173C6830A4B87BC38D4A2220D5F04;06ED464A3434FBA573C1637994F14B64;;1;45928;719000;
