FILTROS;;;;;;
;1 Registro;;;;201916;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;QTD_LIN_C;
C990;09/2025-67903807000105;2880E188F80297EDC1F65C1755FE0EF8;B0D6BFC1AC45E2B4A1CE61B9FF7232BF;C60D5ED261931546EB5099D87679A317;201916;
