FILTROS;;;;;;;
;1 Registro;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;CNPJ;IND_ESCRI;
C010;11/2025-07329932000121;7FFB349D4AEA65C3D1D4A7B1D97A3E2B;;F2730493C9DE3CAACA14EB047C45EC9B;07329932000121;2;
