FILTROS;;;;;;;;;;;;
;2 Registros;;;;;19132,9;;15688,98;;258,87;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;CST_PIS;VL_ITEM;NAT_BC_CRED;VL_BC_PIS;ALIQ_PIS;VL_PIS;COD_CTA;
C501;09/2025-67903807000105;9EC1E07B1C8E2CDB9F71F44186680967;;2D72AF4C7C98248530D75728577F106F;50;19023,77;04 - Energia elétrica e térmica, inclusive sob a forma de vapor;15599,49;0,0165;257,39;470;
C501;09/2025-67903807000105;6D1F28055225AEB1D4E73079335E1CF2;;64D3B2E8D0EE48C85B6F6D1271DCB592;50;109,13;04 - Energia elétrica e térmica, inclusive sob a forma de vapor;89,49;0,0165;1,48;470;
